time,accel_x_list,accel_y_list,accel_z_list,gyro_x_list,gyro_y_list,gyro_z_list,filename
2018-07-09T12:13:06.068487,0.062,0.59,0.9,-9.024,-3.78,-5.366,9_7_2.csv
2018-07-09T12:13:06.115614,0.062,0.59,0.9,-6.402,0.671,-7.012,9_7_2.csv
2018-07-09T12:13:06.170763,0.067,0.596,0.87,-3.537,1.768,-4.451,9_7_2.csv
2018-07-09T12:13:06.213880,0.067,0.596,0.87,-4.39,6.829,-1.646,9_7_2.csv
2018-07-09T12:13:06.255993,0.029,0.614,0.846,4.451,9.573,1.524,9_7_2.csv
2018-07-09T12:13:06.303622,0.029,0.614,0.846,7.561,6.28,5.122,9_7_2.csv
2018-07-09T12:13:06.348744,0.032,0.614,0.867,-5.0,3.902,3.78,9_7_2.csv
2018-07-09T12:13:06.399882,0.045,0.603,0.879,-2.073,10.915,4.634,9_7_2.csv
2018-07-09T12:13:06.457037,0.045,0.603,0.879,-3.78,11.037,4.512,9_7_2.csv
2018-07-09T12:13:06.567338,0.008,0.601,0.874,-1.768,7.866,3.11,9_7_2.csv
2018-07-09T12:13:06.616471,0.008,0.601,0.874,-14.451,-0.915,2.195,9_7_2.csv
2018-07-09T12:13:06.665609,0.016,0.58,0.897,-40.122,-3.476,-2.012,9_7_2.csv
2018-07-09T12:13:06.711734,0.016,0.58,0.897,-50.732,0.854,-2.866,9_7_2.csv
2018-07-09T12:13:06.756862,0.042,0.451,0.942,-26.463,5.0,7.744,9_7_2.csv
2018-07-09T12:13:06.803989,0.048,0.449,0.963,-28.72,9.146,8.415,9_7_2.csv
2018-07-09T12:13:06.855132,0.048,0.449,0.963,-21.585,9.878,14.512,9_7_2.csv
2018-07-09T12:13:06.903261,0.052,0.403,0.975,-14.207,12.256,23.537,9_7_2.csv
2018-07-09T12:13:06.957413,0.024,0.437,0.976,-9.817,12.744,29.207,9_7_2.csv
2018-07-09T12:13:07.013566,0.024,0.437,0.976,-16.28,8.232,28.171,9_7_2.csv
2018-07-09T12:13:07.072730,0.011,0.422,0.989,-9.146,8.78,30.061,9_7_2.csv
2018-07-09T12:13:07.117852,0.003,0.397,1.004,7.805,11.402,26.28,9_7_2.csv
