time,accel_x_list,accel_y_list,accel_z_list,gyro_x_list,gyro_y_list,gyro_z_list,filename
2018-07-11T10:57:52.915184,-0.923,-0.431,-0.086,25.488,35.305,-36.951,14_5_2.csv
2018-07-11T10:57:52.965820,-0.968,-0.387,-0.03,49.878,52.073,-32.378,14_5_2.csv
2018-07-11T10:57:53.010441,-0.968,-0.387,-0.03,76.159,62.378,-26.341,14_5_2.csv
2018-07-11T10:57:53.063582,-1.023,-0.383,0.129,105.061,70.976,-18.293,14_5_2.csv
2018-07-11T10:57:53.103693,-1.023,-0.383,0.129,147.927,83.476,-10.61,14_5_2.csv
2018-07-11T10:57:53.152824,-1.084,-0.266,0.217,203.293,68.902,3.171,14_5_2.csv
2018-07-11T10:57:53.202962,-1.023,-0.111,0.045,119.573,27.927,18.598,14_5_2.csv
2018-07-11T10:57:53.250087,-1.023,-0.111,0.045,14.085,-9.878,28.78,14_5_2.csv
2018-07-11T10:57:53.292205,-0.978,-0.216,0.023,-53.598,-33.841,22.5,14_5_2.csv
2018-07-11T10:57:53.344344,-0.978,-0.216,0.023,-104.756,-43.902,14.817,14_5_2.csv
2018-07-11T10:57:53.387411,-0.971,-0.442,-0.056,-159.695,-49.573,2.622,14_5_2.csv
2018-07-11T10:57:53.433534,-0.895,-0.672,-0.22,-23.841,10.305,15.122,14_5_2.csv
2018-07-11T10:57:53.497228,-0.895,-0.672,-0.22,169.085,70.488,25.793,14_5_2.csv
2018-07-11T10:57:53.543351,-0.942,-0.439,-0.221,189.939,100.305,4.207,14_5_2.csv
2018-07-11T10:57:53.590478,-0.913,-0.194,0.115,140.854,76.402,-22.561,14_5_2.csv
2018-07-11T10:57:53.638606,-0.913,-0.194,0.115,120.122,25.915,-2.073,14_5_2.csv
2018-07-11T10:57:53.683726,-1.037,-0.312,0.081,-14.512,12.622,10.732,14_5_2.csv
2018-07-11T10:57:53.731854,-1.037,-0.312,0.081,-97.683,-11.098,20.427,14_5_2.csv
2018-07-11T10:57:53.800035,-0.92,-0.307,0.139,-92.744,-21.585,36.646,14_5_2.csv
2018-07-11T10:57:53.856184,-0.776,-0.465,0.005,-22.805,9.756,29.573,14_5_2.csv
2018-07-11T10:57:53.931885,-0.89,-0.346,-0.097,48.354,29.207,24.146,14_5_2.csv
2018-07-11T10:57:53.987533,-0.89,-0.346,-0.097,80.305,23.963,20.976,14_5_2.csv
2018-07-11T10:57:54.031651,-0.951,-0.164,0.021,98.659,17.622,13.537,14_5_2.csv
2018-07-11T10:57:54.103341,-0.955,-0.156,0.102,48.293,11.402,-2.317,14_5_2.csv
