18530,0.998047,0.011718,-0.005326,-0.013848
0.190186,-0.109863,0.990112,0.031958,-0.011718,-0.020240
0.197021,-0.100464,0.986816,0.037284,-0.009587,-0.020240
0.207397,-0.085815,0.988892,0.019175,-0.006392,-0.020240
0.207031,-0.083374,0.993530,0.006392,-0.002131,-0.020240
0.200806,-0.077026,0.994507,0.002131,-0.003196,-0.018110
0.198242,-0.078369,0.988159,-0.004261,-0.009587,-0.012783
0.200317,-0.086304,0.982178,-0.005326,-0.012783,-0.009587
0.205933,-0.093994,0.975098,-0.001065,-0.010653,-0.008522
0.209839,-0.101074,0.974365,0.005326,-0.002131,-0.007457
0.213623,-0.102905,0.972900,0.018110,0.008522,-0.010653
0.213989,-0.094971,0.978027,0.023436,0.019175,-0.011718
0.210815,-0.084473,0.994507,0.015979,0.027697,-0.005326
0.202759,-0.077515,1.003784,0.000000,0.023436,0.003196
0.197266,-0.088257,1.005615,-0.009587,0.011718,0.008522
0.193848,-0.100464,1.000366,-0.003196,-0.004261,0.003196
0.192627,-0.104370,0.988525,0.014914,-0.014914,-0.008522
0.199097,-0.097412,0.979370,0.020240,-0.010653,-0.010653
0.205444,-0.091675,0.975708,0.019175,0.001065,-0.003196
0.210327,-0.091309,0.980591,0.007457,0.014914,0.002131
0.205688,-0.096069,0.986694,0.004261,0.021305,-0.006392
0.202026,-0.094604,0.991577,0.011718,0.015979,-0.011718
0.196655,-0.088989,0.998047,0.009587,0.008522,-0.008522
0.198608,-0.094116,1.000000,0.003196,0.001065,-0.004261
0.198975,-0.104858,0.998901,0.002131,-0.004261,-0.007457
0.198486,-0.108154,0.992310,0.018110,-0.007457,-0.014914
0.202026,-0.097778,0.987061,0.026632,-0.004261,-0.015979
0.205811,-0.091064,0.982544,0.022371,0.001065,-0.011718
0.207764,-0.085937,0.980957,0.017044,0.006392,-0.010653
0.205933,-0.084961,0.980957,0.013848,0.010653,-0.012783
0.206665,-0.080200,0.984741,0.006392,0.011718,-0.009587
0.203003,-0.080933,1.003418,-0.008522,0.005326,-0.002131
0.196411,-0.086792,1.010620,-0.009587,-0.008522,0.002131
0.195557,-0.090698,1.006348,0.004261,-0.022371,0.004261
0.200684,-0.089355,0.995483,0.013848,-0.026632,0.010653
0.206421,-0.087280,0.985962,0.015979,-0.022371,0.018110
0.213257,-0.084839,0.975830,0.007457,-0.013848,0.021305
0.218262,-0.089722,0.965942,-0.010653,-0.004261,0.024501
0.218140,-0.098511,0.963745,-0.015979,0.006392,0.014914
0.214111,-0.101929,0.970459,-0.018110,0.015979,0.007457
0.208374,-0.102905,0.982300,-0.012783,0.019175,0.005326
0.200684,-0.104858,0.998291,-0.008522,0.017044,0.005326
0.193481,-0.106934,1.006836,-0.002131,0.009587,0.001065
0.185913,-0.106079,1.009155,0.004261,-0.001065,-0.005326
0.190186,-0.104980,1.008057,0.007457,-0.006392,-0.001065
0.205811,-0.104492,1.007568,0.001065,-0.003196,0.012783
0.219727,-0.097412,1.019409,-0.012783,0.012783,0.027697
0.226807,-0.093262,1.035645,-0.045806,0.028762,0.055394
0.235229,-0.109863,1.086060,-0.104396,0.074569,0.102265
0.249390,-0.142212,1.134644,-0.159790,0.155529,0.177899
0.258423,-0.162842,1.114502,-0.080960,0.199205,0.180030
0.263306,-0.160889,1.124634,-0.051133,0.287622,0.227967
0.259155,-0.182861,1.157593,0.086286,0.400540,0.294013
0.230225,-0.207031,1.178223,0.316384,0.490022,0.269512
0.234009,-0.208374,1.166992,0.696683,0.507066,0.161920
0.263428,-0.167114,1.105591,1.111071,0.451672,0.019175
0.323730,-0.059448,0.995850,1.243164,0.349407,-0.056459
0.410767,0.043091,0.945679,1.002414,0.286556,-0.074569
0.427734,0.102539,0.950806,0.653007,0.301470,-0.118244
0.388062,0.109619,0.992554,0.042611,0.302535,-0.211988
0.392700,0.063354,0.949951,-0.121440,0.334493,-0.268447
0.358643,0.041626,0.948120,-0.185356,0.416519,-0.294013
0.319092,-0.001099,0.936157,-0.025566,0.515588,-0.262055
0.259033,0.016724,0.960205,0.087352,0.657268,-0.260990
0.206055,0.041992,0.980957,0.113983,0.779774,-0.248207
0.158325,0.057617,0.986694,0.057524,0.871387,-0.298274
0.083862,0.110229,0.988403,-0.118244,0.931041,-0.405866
0.004150,0.153931,1.032104,-0.478304,0.990696,-0.519849
-0.084106,0.137573,1.089355,-0.862865,1.027981,-0.591222
-0.141479,0.012451,1.087280,-1.148355,0.991762,-0.619984
-0.167358,-0.026001,1.079468,-1.172857,0.923585,-0.608266
-0.172119,-0.105103,1.088013,-1.053547,0.815993,-0.580569
-0.147217,-0.122559,1.081909,-0.893757,0.713727,-0.504936
-0.189087,-0.154907,1.098145,-0.714793,0.604005,-0.446346
-0.240356,-0.152588,1.016357,-0.493218,0.402670,-0.403735
-0.214355,-0.156982,0.938354,-0.351537,0.169377,-0.295078
-0.096191,-0.147461,0.930420,-0.356864,0.068177,-0.210922
-0.042725,-0.142578,0.898315,-0.388822,0.054329,-0.155529
-0.046631,-0.202637,0.678589,-0.215184,0.036219,-0.141680
-0.019287,-0.315308,0.580933,0.085221,-0.004261,-0.102265
0.326660,-0.328735,0.687012,0.362190,0.210922,-0.046872
0.466187,-0.234131,0.851196,0.327036,0.708401,-0.095874
0.268677,-0.109497,0.882812,0.069242,1.083374,-0.154463
-0.015015,-0.108032,0.888306,-0.309992,1.208010,-0.145941
-0.126587,-0.154419,0.930054,-0.573112,1.138768,-0.091613
-0.042603,-0.153076,0.997437,-0.813862,1.062069,-0.034088
-0.136597,-0.218018,1.097046,-0.960869,1.114267,-0.112918
-0.343262,-0.290527,1.093140,-0.584830,0.964065,-0.157659
-0.433350,-0.386353,1.016479,-0.531567,0.759534,-0.180030
-0.308228,-0.390015,0.983521,-0.283360,0.605070,-0.217314
-0.294678,-0.241821,1.004395,-0.339819,0.627441,-0.344081
-0.405640,-0.178589,1.090332,-0.616788,0.705205,-0.421845
-0.430786,-0.244629,1.094849,-0.868191,0.715858,-0.418649
-0.422607,-0.308350,1.011108,-1.002414,0.647681,-0.422910
-0.390503,-0.343750,0.958496,-1.061004,0.557134,-0.341950
-0.372070,-0.354492,0.983398,-1.089766,0.469782,-0.258859
-0.319336,-0.377075,0.917114,-1.046090,0.346211,-0.200270
-0.378296,-0.386108,0.788940,-1.004545,0.185356,-0.010653
-0.379761,-0.493408,0.712280,-0.843690,0.047937,0.158724
-0.382080,-0.476562,0.665649,-0.702010,0.003196,0.227967
-0.357910,-0.463135,0.674805,-0.650877,-0.024501,0.302535
-0.273438,-0.541016,0.662354,-0.593353,0.018110,0.396279
-0.327637,-0.557495,0.668335,-0.514523,0.106526,0.393083
-0.372437,-0.581055,0.651367,-0.365386,0.122505,0.370712
-0.461670,-0.471313,0.672607,-0.374973,0.158724,0.268447
-0.562866,-0.414185,0.708496,-0.559264,0.131028,0.181095
-0.583618,-0.392578,0.761597,-0.923585,0.046872,0.058590
-0.580444,-0.535522,0.810425,-0.940629,-0.056459,0.092678
-0.520996,-0.677368,0.712891,-0.567786,-0.297209,0.170442
-0.413696,-0.695923,0.642944,-0.074569,-0.449542,0.256729
-0.397949,-0.661133,0.672607,0.316384,-0.476173,0.377104
-0.376343,-0.622192,0.702515,0.573112,-0.463390,0.516653
-0.354980,-0.531738,0.696533,0.677508,-0.379234,0.613593
-0.418701,-0.340698,0.693115,0.409062,-0.259925,0.542220
-0.427979,-0.306030,0.743164,-0.031958,-0.189617,0.477239
-0.359131,-0.308472,0.743530,-0.404801,-0.170442,0.419714
-0.314941,-0.272827,0.675415,-0.851147,-0.095874,0.335558
-0.347046,-0.318359,0.650146,-0.945955,-0.066046,0.292948
-0.382690,-0.335571,0.653931,-0.900149,-0.069242,0.272708
-0.375000,-0.354614,0.657593,-0.721184,-0.104396,0.357929
-0.324097,-0.323486,0.613037,-0.466586,-0.137419,0.495348
-0.327515,-0.339844,0.568970,-0.214118,-0.182160,0.626376
-0.293701,-0.389404,0.447632,0.216249,-0.264186,0.735033
-0.306519,-0.320190,0.267090,0.668986,-0.329167,0.836233
-0.239624,-0.254883,0.209351,0.894822,-0.182160,0.893757
-0.137695,-0.089111,0.502563,0.321710,0.508131,0.989631
-0.132446,-0.038330,0.788452,-0.441020,1.182444,0.864995
-0.495239,-0.107300,0.934570,-1.230381,1.592571,0.536893
-0.609497,-0.378540,0.934448,-1.520133,1.529720,0.757403
-0.726929,-0.600220,0.832886,-1.350756,1.307080,0.742490
-0.872192,-0.617920,0.777588,-1.092962,0.857538,0.728641
-0.850830,-0.731812,0.711548,-0.959804,0.592287,0.938498
-0.845825,-0.867187,0.742798,-0.730772,0.439954,1.078048
-0.887451,-0.881592,0.735840,-0.351537,0.248207,1.206945
-0.904785,-0.865234,0.595337,-0.008522,0.189617,1.511611
-0.973755,-0.865356,0.517090,0.155529,0.381365,1.416802
-1.171875,-0.633545,0.537354,0.126767,0.449542,1.196293
-1.360107,-0.393433,0.393311,-0.311057,0.501740,0.851147
-1.380493,-0.325195,0.235718,-0.876713,0.598679,0.532632
-1.354980,-0.776611,0.112305,-0.990696,0.568851,0.458064
-1.215698,-1.078003,0.039551,-0.145941,0.627441,0.383495
-1.172852,-0.700928,0.062622,0.176834,0.976848,-0.125701
-1.292725,-0.459473,0.067383,-0.077764,0.998153,-0.265251
-1.097412,-0.583984,0.045288,-0.344081,0.840494,-0.113983
-0.741577,-0.933838,-0.104126,0.194943,1.172857,-0.396279
-1.017334,-0.575195,-0.046143,0.232228,1.532916,-1.259143
-1.125000,-0.305054,0.046509,0.033023,1.519068,-1.358213
-1.110474,-0.282471,0.088867,-0.172573,1.492436,-1.201619
-1.133423,-0.480957,0.087524,-0.143811,1.531851,-1.057808
-1.136108,-0.556030,0.098633,0.072438,1.523329,-1.085505
-1.182129,-0.462646,0.090820,0.256729,1.473261,-1.138768
-1.320801,-0.429443,0.122437,0.287622,1.332646,-1.003479
-1.286987,-0.523682,0.159912,0.410127,0.972587,-0.577374
-1.034180,-0.638794,0.112671,0.732902,0.698814,-0.023436
-0.915527,-0.669922,0.047485,1.343299,0.698814,0.007457
-1.122681,-0.623413,0.121216,1.650095,0.479369,-0.013848
-1.107788,-0.607666,0.125732,1.961153,0.110788,0.173638
-1.010620,-0.563477,0.081055,2.126269,-0.073503,0.243946
-0.955200,-0.385254,-0.027100,2.084723,-0.093743,0.121440
-1.054199,-0.138794,0.069824,1.710815,0.156594,0.010653
-1.070190,-0.027222,0.222656,1.161139,0.227967,0.038350
-0.965210,-0.168945,0.292725,0.770186,0.290817,0.157659
-1.065186,-0.249512,0.244019,0.679639,0.422910,-0.117179
-1.336914,-0.063232,0.229614,0.625310,0.301470,-0.709466
-1.597046,-0.210327,0.287476,0.794688,-0.313188,-1.473261
-1.514160,-0.143311,0.266968,1.477522,-1.097223,-1.103614
-1.103638,-0.157227,0.211182,2.181663,-1.561678,-0.732902
-0.595337,0.072876,0.264404,2.609899,-1.589375,-0.781904
-0.107056,0.247559,0.461304,2.564093,-1.318798,-0.779774
0.402344,0.326294,0.769165,2.114551,-1.218663,-0.578439
0.783691,0.309448,1.189209,1.235707,-1.565939,-0.392017
1.117920,0.357300,0.964233,0.150202,-2.442652,0.155529
0.936401,0.233887,0.577881,-0.940629,-1.658617,-1.284709
-0.596313,0.225464,0.120728,-1.497762,-2.287124,-1.460478
-0.867920,0.072266,0.085449,-0.555003,-2.785668,-1.342234
-1.090820,0.072388,-0.160522,0.942759,-3.542006,-0.692422
-1.335938,-0.192017,-0.646606,2.504438,-3.475959,0.417584
-0.764648,0.063232,-0.211548,3.970242,-3.033874,1.469000
-0.011597,0.299438,-0.018066,4.056529,-1.894041,1.867409
-0.777100,-0.053711,0.763794,3.253319,-0.704140,1.416802
-1.206543,-0.521484,1.379395,3.428022,-0.659399,2.063418
-0.684814,0.114502,1.823364,2.551309,-0.957673,1.505219
-0.902466,0.366821,2.529907,-3.410978,-4.515658,1.293232
-0.165894,-1.329468,3.422852,-2.633335,-4.902349,0.059655
0.279541,-0.951782,2.456909,-0.824515,-3.972373,0.573112
-0.079102,-0.698242,1.600830,-0.452738,-2.893260,0.747816
-0.281738,-0.574341,0.965332,-0.202400,-2.188054,0.336624
-0.102661,-0.271362,0.806763,-0.419714,-1.831190,-0.110788
0.612183,-0.363892,0.552002,-0.415453,-1.728925,0.773382
1.756592,-0.643433,-0.091064,-0.001065,-1.982458,1.825864
2.044312,-0.718872,-0.383789,-0.058590,-1.171791,1.859952
1.425293,-0.806763,-0.294800,-0.343015,0.168312,0.202400
0.893799,-0.286865,0.332275,-1.100419,0.658334,0.036219
0.513428,-0.476685,0.551636,-1.675662,1.299623,0.017044
0.353516,-0.959717,0.704102,-0.987501,1.466870,-0.822384
0.107910,-0.511230,0.798218,0.355798,0.808536,-0.777643
-0.017578,-0.040771,0.911377,0.580569,-0.482565,-0.049002
0.418701,-0.196777,0.890381,0.312123,-1.431716,0.339819
0.963379,-0.635376,0.754639,0.327036,-1.157943,0.230097
1.050659,-0.757202,0.898682,0.623180,-0.344081,-0.196009
0.737427,-0.522705,1.317017,0.739294,0.208792,-0.730772
0.433105,-0.269165,1.460449,0.416519,0.534763,-0.740359
0.256348,-0.402832,1.206787,0.593353,0.694553,-0.676443
0.145508,-0.406372,0.937012,1.309211,0.749946,-0.739294
0.108643,-0.077271,0.716187,1.380583,0.601875,-0.690292
0.155884,-0.128296,0.650513,1.037568,0.419714,-0.323841
0.252319,-0.177734,0.679443,0.774448,0.386691,-0.297209
0.186279,-0.100586,0.858765,0.327036,0.209857,-0.388822
0.172852,-0.181152,1.089478,0.023436,-0.142745,-0.286556
0.376099,-0.090088,1.191284,0.368582,-0.237554,-0.313188
0.448486,0.179687,1.188599,0.459129,-0.160855,-0.294013
0.322021,0.285400,1.119019,0.141680,-0.098004,-0.024501
0.251343,0.144653,1.008423,-0.135289,-0.051133,0.243946
0.256470,-0.048096,0.907349,-0.145941,-0.067112,0.271643
0.216064,-0.090942,0.887085,-0.123571,-0.102265,0.216249
0.161011,-0.139038,0.912964,-0.171508,-0.159790,0.148072
0.137695,-0.187622,0.933472,-0.259925,-0.215184,0.143811
0.134888,-0.230347,0.950195,-0.431432,-0.187487,0.119310
0.140869,-0.258301,0.980347,-0.594418,-0.120375,0.058590
0.147339,-0.283325,1.014648,-0.661529,-0.037284,-0.017044
0.147217,-0.320313,1.049316,-0.469782,0.061785,0.029827
0.156250,-0.419922,1.055542,-0.178964,0.073503,0.064981
0.184692,-0.428345,1.017700,0.082025,0.055394,0.058590
0.207520,-0.417847,0.972290,0.260990,0.013848,-0.039415
0.214233,-0.313721,0.929932,0.398409,-0.008522,-0.115049
0.234619,-0.219116,0.897339,0.415453,0.002131,-0.132093
0.270874,-0.151367,0.886963,0.325971,0.025566,-0.111853
0.295654,-0.124023,0.904663,0.169377,0.059655,-0.090548
0.299316,-0.136841,0.939819,0.051133,0.077764,-0.092678
0.285278,-0.144165,0.970947,0.005326,0.073503,-0.105461
0.268677,-0.137207,0.990845,0.019175,0.069242,-0.102265
0.255493,-0.125732,0.990112,0.018110,0.059655,-0.073503
0.247559,-0.130859,0.986328,-0.002131,0.049002,-0.012783
0.246826,-0.186279,0.973999,-0.002131,0.014914,0.040480
0.232910,-0.223511,0.972778,0.080960,-0.017044,0.020240
0.224121,-0.190308,0.968506,0.099070,-0.018110,-0.006392
0.228638,-0.151367,0.977539,0.051133,0.000000,0.001065
0.224243,-0.160645,0.973511,0.036219,-0.009587,0.051133
0.277100,-0.245605,0.955688,0.148072,-0.049002,0.074569
0.241455,-0.208984,1.000732,0.215184,-0.031958,-0.001065
0.196533,-0.149902,1.015503,0.230097,-0.006392,-0.023436
0.211060,-0.234009,0.980713,0.344081,-0.058590,0.020240
0.268188,-0.255005,0.964844,0.479369,-0.077764,0.004261
0.274170,-0.163330,1.028442,0.406931,0.036219,-0.038350
0.210083,-0.105103,1.020630,0.300405,0.073503,-0.061785
0.230103,-0.118164,1.022217,0.257794,0.140615,-0.034088
0.207275,-0.134155,0.981567,0.256729,0.133158,-0.028762
0.251953,-0.242798,0.943604,0.472978,0.090548,-0.014914
0.282471,-0.237061,0.950317,0.770186,0.161920,-0.133158
0.233521,-0.002197,1.032104,0.662595,0.238619,-0.218379
0.187622,0.058960,1.024048,0.407996,0.245011,-0.206661
0.187988,0.001953,0.979248,0.186421,0.220510,-0.162986
0.179565,-0.024658,0.973511,0.056459,0.231162,-0.182160
0.154663,-0.032593,0.988525,0.024501,0.216249,-0.197074
0.143799,-0.008423,0.988525,0.024501,0.194943,-0.192813
0.114014,0.012573,0.967896,0.018110,0.132093,-0.149137
0.098389,0.036377,0.963745,-0.073503,0.096939,-0.092678
0.067383,0.049316,0.949829,-0.255664,0.063916,0.050067
0.029419,-0.085083,0.885010,-0.423975,-0.133158,0.203466
0.087280,-0.323853,0.800903,-0.199205,-0.350472,0.410127
0.161743,-0.298950,0.851196,0.010653,-0.387756,0.333428
0.156494,-0.147949,0.933350,-0.007457,-0.450607,0.237554
0.233887,-0.033203,1.023560,-0.184291,-0.499609,0.193878
0.324707,0.061401,1.119873,-0.460194,-0.474043,0.164051
0.423340,0.048828,1.194214,-0.634898,-0.239685,0.188552
0.432373,-0.002075,1.141235,-0.704140,0.037284,0.157659
0.337036,-0.082764,1.054932,-0.719054,0.162986,0.064981
0.215698,-0.144043,0.967285,-0.617854,0.133158,0.021305
0.178589,-0.216309,0.857056,-0.545416,0.058590,0.084156
0.198730,-0.270020,0.845825,-0.353668,0.011718,0.107592
0.190796,-0.248169,0.863159,-0.100135,-0.017044,0.090548
0.217896,-0.235107,0.909546,-0.271643,-0.009587,0.079895
0.237183,-0.280884,0.971436,-0.301470,-0.014914,0.041545
0.258545,-0.326050,1.008667,-0.166181,-0.033023,0.022371
0.251221,-0.327148,1.027100,0.026632,-0.034088,0.007457
0.231201,-0.269653,1.018921,0.189617,-0.029827,-0.013848
0.227905,-0.210937,0.986694,0.233293,-0.043676,0.008522
0.241699,-0.172729,0.953735,0.133158,-0.054329,0.035154
0.251343,-0.148437,0.944580,0.014914,-0.046872,0.047937
0.254150,-0.165771,0.942505,-0.098004,-0.043676,0.049002
0.239624,-0.198730,0.947144,-0.175769,-0.047937,0.064981
