7,0.293213,0.001065,-0.029827,0.035154
-0.944946,0.112671,0.293823,-0.005326,-0.026632,0.037284
-0.949341,0.109863,0.294067,-0.007457,-0.022371,0.028762
-0.957520,0.106445,0.293579,0.001065,-0.018110,0.020240
-0.958496,0.107422,0.292358,0.013848,-0.010653,0.013848
-0.951294,0.110962,0.294312,0.014914,-0.002131,0.007457
-0.940918,0.114868,0.295654,0.000000,0.009587,0.005326
-0.943481,0.119019,0.298462,-0.026632,0.021305,0.001065
-0.949463,0.117310,0.302856,-0.054329,0.028762,-0.004261
-0.943848,0.108276,0.305054,-0.061785,0.026632,-0.007457
-0.954224,0.107056,0.298706,-0.039415,0.026632,-0.013848
-0.954712,0.111206,0.303101,-0.026632,0.027697,-0.012783
-0.950928,0.110840,0.343628,-0.017044,0.023436,-0.015979
-0.953979,0.120239,0.311157,-0.025566,0.017044,-0.010653
-0.958740,0.112549,0.307861,-0.034088,0.008522,-0.001065
-0.965454,0.107056,0.304565,-0.019175,-0.002131,0.011718
-0.964111,0.106689,0.302979,-0.001065,-0.010653,0.021305
-0.958618,0.105591,0.300781,0.008522,-0.017044,0.027697
-0.951050,0.105591,0.301147,0.010653,-0.018110,0.038350
-0.950317,0.105957,0.299194,0.000000,-0.014914,0.037284
-0.944092,0.104492,0.300293,-0.018110,-0.006392,0.028762
-0.941040,0.100098,0.300903,-0.028762,0.002131,0.004261
-0.943726,0.098389,0.298584,-0.025566,0.006392,-0.008522
-0.940308,0.098511,0.295288,-0.013848,0.007457,-0.020240
-0.940796,0.102905,0.295532,-0.005326,0.009587,-0.025566
-0.948242,0.108643,0.297974,-0.003196,0.009587,-0.028762
-0.953369,0.111328,0.297729,-0.008522,0.010653,-0.026632
-0.957642,0.112305,0.297363,-0.019175,0.010653,-0.024501
-0.961060,0.112549,0.297363,-0.021305,0.010653,-0.020240
-0.958130,0.110352,0.296143,-0.017044,0.008522,-0.013848
-0.952881,0.109863,0.293457,-0.009587,0.011718,-0.009587
-0.958008,0.112793,0.297119,-0.022371,0.017044,-0.003196
-0.946411,0.107300,0.301880,-0.037284,0.018110,0.003196
-0.953857,0.104248,0.295898,-0.038350,0.023436,0.002131
-0.956299,0.103882,0.299316,-0.042611,0.031958,-0.001065
-0.944824,0.096558,0.307739,-0.045806,0.034088,-0.009587
-0.947266,0.099609,0.308472,-0.042611,0.033023,-0.014914
-0.948608,0.100830,0.307007,-0.046872,0.030893,-0.014914
-0.953247,0.097046,0.312988,-0.043676,0.027697,-0.015979
-0.958618,0.103638,0.317261,-0.040480,0.019175,-0.015979
-0.952637,0.117432,0.324585,-0.068177,0.009587,-0.008522
-0.965332,0.116211,0.330688,-0.139550,-0.001065,0.005326
-0.967407,0.110107,0.330933,-0.147007,-0.015979,0.025566
-0.979736,0.104858,0.334106,-0.142745,-0.034088,0.038350
-0.987061,0.095093,0.332397,-0.113983,-0.058590,0.055394
-0.980591,0.081177,0.332397,-0.067112,-0.086286,0.072438
-0.964966,0.068848,0.330322,-0.002131,-0.108657,0.084156
-0.951294,0.070068,0.328491,0.038350,-0.106526,0.100135
-0.955688,0.071045,0.351196,0.054329,-0.098004,0.086286
-0.953613,0.075073,0.359375,0.043676,-0.103331,0.066046
-0.936523,0.044434,0.349121,0.107592,-0.069242,-0.014914
-0.891846,0.032837,0.352905,0.194943,-0.033023,-0.085221
-0.873535,0.040649,0.355103,0.279099,-0.013848,-0.132093
-0.858276,0.080078,0.337769,0.301470,0.008522,-0.159790
-0.843994,0.117676,0.325684,0.152333,0.060720,-0.197074
-0.821533,0.108887,0.320801,-0.046872,0.093743,-0.230097
-0.786255,0.098267,0.314331,-0.196009,0.111853,-0.204531
-0.768188,0.083740,0.304688,-0.285491,0.110788,-0.169377
-0.766602,0.092896,0.298584,-0.286556,0.091613,-0.123571
-0.759033,0.115601,0.303711,-0.306796,0.021305,-0.061785
-0.677002,0.094116,0.297363,-0.321710,-0.050067,-0.008522
-0.634399,0.104492,0.277832,-0.303600,-0.096939,0.068177
-0.665039,0.135986,0.297974,-0.351537,-0.112918,0.110788
-0.718384,0.121094,0.327637,-0.417584,-0.148072,0.091613
-0.753784,0.122437,0.323364,-0.432498,-0.181095,0.061785
-0.799316,0.145508,0.320068,-0.447411,-0.192813,-0.009587
-0.847534,0.140137,0.339478,-0.546481,-0.236489,-0.055394
-0.794800,0.117065,0.335449,-0.597614,-0.325971,0.053263
-0.726807,0.101563,0.324829,-0.617854,-0.398409,0.166181
-0.739258,0.073242,0.330566,-0.662595,-0.532632,0.276969
-0.777344,0.027344,0.287964,-0.519849,-0.599744,0.319579
-0.800537,0.038696,0.272095,-0.351537,-0.608266,0.331297
-0.774780,0.041016,0.261230,-0.193878,-0.570982,0.327036
-0.747925,0.071411,0.263794,-0.056459,-0.480434,0.334493
-0.758057,0.087646,0.299927,-0.064981,-0.416519,0.344081
-0.763672,0.095947,0.298706,-0.058590,-0.390952,0.441020
-0.764648,0.100952,0.273560,0.126767,-0.327036,0.354733
-0.769653,0.114380,0.286499,0.362190,-0.220510,0.338754
-0.755249,0.136963,0.380615,0.635963,-0.140615,0.317449
-0.813354,0.265381,0.629272,0.475108,-0.302535,0.325971
-0.886353,0.405640,0.653076,0.028762,-0.518784,0.394148
