ax,ay,az,gx,gy,gz
-0.924072,-0.138672,0.178589,1.940913,-0.347276,0.395213
-0.878052,-0.129517,0.167236,2.118812,-0.297209,0.349407
-0.899902,-0.083984,0.170654,2.225338,-0.282295,0.216249
-0.956665,-0.026123,0.163086,2.256231,-0.327036,0.152333
-0.983765,-0.006714,0.153931,2.240252,-0.394148,0.100135
-1.009155,0.021118,0.147461,2.186989,-0.461260,0.021305
-1.003540,0.028076,0.143066,2.147574,-0.507066,-0.041545
-1.016479,0.081421,0.099609,2.078332,-0.546481,-0.184291
-1.140991,0.168091,0.133179,1.771536,-0.544350,-0.320645
-1.168579,0.146606,0.158081,1.582984,-0.564590,-0.316384
-1.025146,0.117432,0.123047,1.536112,-0.567786,-0.307862
-0.975708,0.104858,0.091553,1.645834,-0.602940,-0.356864
-1.007202,0.137695,0.088989,1.822668,-0.638094,-0.432498
-1.126099,0.239624,0.115112,1.836517,-0.651942,-0.398409
-1.105469,0.264648,0.109375,1.827995,-0.641289,-0.323841
-1.061768,0.250610,0.115234,1.898302,-0.602940,-0.236489
-1.017700,0.262573,0.116089,1.996306,-0.546481,-0.140615
-1.004395,0.300537,0.104126,2.003763,-0.471912,-0.067112
-1.096680,0.342896,0.108398,1.878062,-0.400540,-0.005326
-1.177368,0.399536,0.128052,1.573396,-0.329167,0.042611
-1.175415,0.410767,0.169556,1.184575,-0.241815,0.109722
-1.110962,0.403931,0.267456,0.764860,-0.006392,0.193878
-0.955811,0.300537,0.404419,0.356864,0.093743,0.249272
-0.780884,0.222168,0.410156,0.368582,0.041545,0.299339
-0.605835,0.184692,0.313232,0.470847,-0.104396,0.321710
-0.530396,0.198120,0.340088,0.350472,-0.108657,0.239685
-0.684692,0.134644,0.398315,0.344081,-0.175769,0.157659
-0.822754,0.103516,0.336304,0.430367,-0.319579,0.083091
-0.861084,0.070557,0.267700,0.544350,-0.491087,0.038350
-0.859131,0.039917,0.230957,0.704140,-0.630637,-0.041545
-0.866577,0.072021,0.238892,0.817058,-0.662595,-0.162986
-0.881104,0.104004,0.270752,0.923585,-0.512392,-0.278034
-0.802002,0.151733,0.280518,1.051416,-0.390952,-0.331297
-0.736572,0.194946,0.265137,1.124920,-0.270577,-0.409062
-0.749268,0.234741,0.309570,1.098288,-0.162986,-0.458064
-0.782837,0.257080,0.372803,1.058873,-0.104396,-0.444215
-0.786987,0.250854,0.369019,1.115332,-0.134223,-0.386691
-0.790649,0.244873,0.349854,1.181379,-0.206661,-0.350472
